,도시,DATE,SO2,CO,O3,NO2,PM10
1165,대구,2012-06-01,0.0034555813372127,0.3474315076836761,0.0356997804608502,0.0139425228192032,37.211580969997705
1166,대구,2012-07-01,0.0028374390275298,0.4219561037966809,0.0268752063395121,0.0141561460264494,34.90283261233219
1167,대구,2012-08-01,0.002620425109973,0.3597955197566195,0.0247898673151274,0.0118057877587954,27.79896576441551
1168,대구,2012-09-01,0.0030184928455959,0.4002360158568499,0.0239041711044035,0.019813639685136,32.12427304643457
1169,대구,2012-10-01,0.0037501415136939,0.5061343487353401,0.0169564818688942,0.0278067662377318,44.6938158750921
1170,대구,2012-11-01,0.0052705031875839,0.5572253795160359,0.0153168864180041,0.0276203342075195,49.807156227570246
1171,대구,2012-12-01,0.0062892893563515,0.7056428372374952,0.0128120727937529,0.0295335432123064,45.92936226455925
1172,대구,2013-01-01,0.0079171205125975,0.7897863385162514,0.0145109433835475,0.0356490314482067,68.2130477180886
1173,대구,2013-02-01,0.006716882573364,0.6117063991913061,0.0182659280020448,0.0318966027625149,52.35826446681021
1174,대구,2013-03-01,0.0052905496803408,0.5298404847844866,0.0278109391878204,0.0285643133245544,62.72243566685885
1175,대구,2013-04-01,0.0040123437905317,0.4199755974407066,0.0342096560805419,0.023604418292399,47.00747841056691
1176,대구,2013-05-01,0.0038818862057617,0.4052480264598091,0.0403727491319041,0.0215193446895725,54.16861011892128
1177,대구,2013-06-01,0.0028935746320299,0.4182867160929733,0.0361837602260428,0.0181771715623669,44.84564074299563
1178,대구,2013-07-01,0.0025291153207326,0.3775094833587283,0.0253911954604388,0.0136257836231461,33.19325868593503
1179,대구,2013-08-01,0.0025042354681496,0.3961022182591805,0.0270952086695001,0.0167146095574696,40.06362666603946
1180,대구,2013-09-01,0.0023663538824876,0.3951300394054969,0.0230506503588321,0.018849150861414,32.54794832317942
1181,대구,2013-10-01,0.0030731189789343,0.4306383723812045,0.0181501041820933,0.024701569633084,36.387923485849306
1182,대구,2013-11-01,0.0036586549418801,0.5421186295901291,0.0132880891126073,0.0305283612777938,44.4000636867718
1183,대구,2013-12-01,0.0061051870247258,0.6166904445783605,0.0128836483947606,0.0326823135983632,49.73645556770775
1184,대구,2015-01-01,0.0052643141209358,0.5699644263089907,0.0127162483651546,0.0314978533681113,55.5345428466737
1185,대구,2015-02-01,0.0050293017786498,0.5426892973455603,0.0189354903030093,0.0269281859423465,67.5834571785902
1186,대구,2015-03-01,0.0045796355446502,0.5086349232288854,0.0260755976756914,0.0274995897315604,61.94666201740306
1187,대구,2015-04-01,0.0030757459099417,0.3722604749958603,0.0327184384140578,0.0196267099301125,43.22141144235269
